ICol,Dx,Dy,Dz
251, -2.82033611712e-06, -1.99596014313e-05, 1.55310173489e-06
252, 5.35609576536e-06, -2.07414117483e-05, -2.03323962078e-06
253, 1.10336545861e-06, -1.8545961439e-05, -2.26838050051e-06
254, 1.36175727619e-06, -1.77673492692e-05, -3.15931684188e-06
255, -2.28362064901e-06, -1.72374448324e-05, -1.07007252547e-06
256, -1.08660507641e-06, -1.68143097365e-05, -1.75119549353e-06
257, 3.05792734821e-06, -2.15797438271e-05, 5.62690631652e-07
258, -1.47238247507e-06, -1.85263957417e-05, 1.51526396536e-06
259, 1.08401954804e-06, -2.21785612542e-05, -1.03007975024e-06
260, 2.00133529218e-06, -1.79690949699e-05, -2.89616311989e-06
261, -1.45589853671e-06, -1.98162407551e-05, -2.90413830657e-06
262, 1.99760599092e-06, -1.76068720419e-05, -2.39207241853e-06
263, 3.4102288242e-06, -1.90926467373e-05, -1.73259558205e-06
264, 3.64972888505e-06, -2.06365130704e-05, -3.02873153492e-06
265, -3.77572976949e-06, -2.08910819628e-05, -6.88309310894e-07
266, -2.91361145151e-06, -1.68066028134e-05, -3.34380883375e-10
267, 4.84721414352e-06, -2.16619889383e-05, -3.36920390216e-06
268, -2.16717409362e-06, -1.63417611546e-05, -3.67373591789e-06
269, 8.55055583385e-07, -1.89150541583e-05, -2.31907519297e-06
270, 1.41800742913e-06, -1.79147710687e-05, -1.51096029442e-06
271, -3.92010042024e-07, -1.91624825291e-05, 4.49105135126e-07
272, 4.4329071802e-06, -2.03983868537e-05, -2.30170211548e-06
273, -1.34009687139e-07, -1.70439938059e-05, -1.08067888786e-07
274, 2.70242621827e-06, -1.84546381026e-05, -4.47305619374e-06
275, 6.30921362037e-07, -1.67395209967e-05, -1.80646480147e-06
276, 7.22963698537e-07, -1.99634211599e-05, -1.61982354518e-06
277, 1.03896043271e-06, -1.96543581819e-05, -1.91929660636e-06
278, -9.23426784653e-07, -1.795311122e-05, -1.505040298e-07
279, -1.25698102368e-06, -1.96913362529e-05, 2.83682912053e-06
280, 1.55922143665e-06, -1.96293891461e-05, -8.15912216851e-07
281, -1.00519558731e-07, -1.66563222387e-05, 6.38253184164e-07
282, 4.03045905955e-06, -1.8896546901e-05, -2.87029283658e-06
283, -3.21938835396e-06, -1.86350414982e-05, -2.67972183004e-06
284, -1.16107690533e-06, -1.91060704206e-05, -7.79102872117e-07
285, 1.66963663783e-06, -1.62394787202e-05, -3.11400030251e-07
286, 5.20124326768e-07, -1.59381579606e-05, -1.27930683838e-06
287, 5.36206022995e-06, -1.74363230468e-05, -4.35394733948e-06
288, -4.48587623931e-07, -1.93311006968e-05, 7.54782386627e-08
289, -2.44126416246e-06, -1.92161046496e-05, -1.86469281048e-06
290, -5.89919915317e-08, -1.58877724607e-05, -2.40119111108e-06
291, -5.24677778518e-07, -1.71794931339e-05, -5.06600997497e-07
292, 7.07176058979e-07, -1.72314705755e-05, -3.93908471146e-06
293, 4.4571328159e-07, -1.85638062735e-05, -1.63137223577e-06
294, 3.05795446949e-06, -1.87431474074e-05, 1.14036185294e-06
295, 4.19784438723e-06, -1.80517763769e-05, -7.26717277322e-07
