,Names,RA,DEC,Redshift
295,2MASX J01034126-0220153,15.92188,-2.33764,0.070759
296,2MASX J01034778-0857472,15.94925,-8.96306,0.038198
297,2MASX J01035245-2023298,15.96839,-20.39165,0.052436
298,2MASX J01035375-4922139,15.97392,-49.37061,0.030638
299,2MASX J01035516-5121359,15.97983,-51.35989,0.053827
300,2MASX J01041695-1506175,16.07082,-15.10498,0.053567
301,2MASX J01043352-0019115,16.13965,-0.32011,0.051048
302,2MASX J01043881-0415295,16.16173,-4.25811,0.03826
303,2MASX J01045071-1513177,16.21129,-15.22153,0.052993
304,2MASX J01045986-4604332,16.2495,-46.07583,0.029887
305,2MASX J01051142-2018018,16.29777,-20.30044,0.053947
306,2MASX J01052629-0048063,16.35967,-0.80183,0.066519
307,2MASX J01053482-0836126,16.39501,-8.60354,0.05435
308,2MASX J01054135-1332503,16.42229,-13.54733,0.051626
309,2MASX J01054640-0045341,16.44338,-0.75948,0.06643
310,2MASX J01060823-1353343,16.53426,-13.89273,0.050028
311,2MASX J01061576-1803547,16.56574,-18.06523,0.053143
312,2MASX J01062986-1322243,16.62451,-13.37344,0.052436
313,2MASX J01063216-2037429,16.63408,-20.62872,0.054658
314,2MASX J01063495-1717355,16.64562,-17.29325,0.052613
315,2MASX J01064783-2037459,16.6994,-20.6294,0.041542
316,2MASX J01065314-5147458,16.72133,-51.796,0.054077
317,2MASX J01065454-1927404,16.72725,-19.46125,0.043043
318,2MASX J01065908-1529554,16.74628,-15.49867,0.038583
319,2MASX J01070685-3728482,16.77854,-37.48,0.04859
320,2MASX J01070729-4703193,16.78046,-47.05533,0.022315
321,2MASX J01070747-5145128,16.78096,-51.75367,0.054147
322,2MASX J01071004-0646048,16.79205,-6.76793,0.043273
323,2MASX J01071890-0046510,16.82864,-0.78089,0.045721
324,2MASX J01072060-1636242,16.83592,-16.60667,0.037633
325,2MASX J01074176-0256447,16.92408,-2.94569,0.044601
326,2MASX J01074752-2134376,16.948,-21.57711,0.051315
327,2MASX J01080295-4331405,17.01237,-43.52786,0.054264
328,2MASX J01080501-4551175,17.021,-45.85489,0.024123
329,2MASX J01081297+3227128,17.054,32.45361,0.015858
330,2MASX J01081312-1339157,17.05473,-13.6545,0.051496
331,2MASX J01081580-1800034,17.06569,-18.00092,0.05277
332,2MASX J01083062-1457047,17.12758,-14.95133,0.051145
333,2MASX J01083559-1700468,17.1484,-17.01302,0.053103
334,2MASX J01083979-1529518,17.16587,-15.49778,0.054381
335,2MASX J01084013-1551168,17.16721,-15.85464,0.041245
336,2MASX J01085249-0039187,17.21866,-0.65539,0.045191
337,2MASX J01085835-8235410,17.24312,-82.59478,0.052533
338,2MASX J01090879-5344313,17.28675,-53.742,0.053957
339,2MASX J01092051-4540559,17.3355,-45.68222,0.02388
340,2MASX J01092285-4639430,17.34508,-46.66192,0.022536
341,2MASX J01092522-1621491,17.35527,-16.36366,0.030388
342,2MASX J01093552-4603160,17.39796,-46.0545,0.028226
343,2MASX J01093705-1108087,17.40439,-11.13573,0.044938
344,2MASX J01093781-4553520,17.40746,-45.89769,0.022129
345,2MASX J01093965-4559310,17.41533,-45.99189,0.023726
346,2MASX J01094729-4552409,17.44717,-45.878,0.022849
347,2MASX J01094979-4612249,17.45763,-46.20686,0.024707
348,2MASX J01095135-4614143,17.46392,-46.23725,0.022816
349,2MASX J01095887-0237583,17.49519,-2.63287,0.052616
350,2MASX J01100153-4558074,17.50642,-45.96881,0.026722
351,2MASX J01100500-1533516,17.52088,-15.56444,0.050505
352,2MASX J01100662-4555544,17.52767,-45.93183,0.02436
353,2MASX J01101802-4555584,17.57512,-45.93294,0.028416
354,2MASX J01101993-4551184,17.583,-45.85511,0.023243
355,2MASX J01102865-6133327,17.61929,-61.55917,0.026308
356,2MASX J01103349-4547395,17.63958,-45.79433,0.027702
357,2MASX J01104136-1531120,17.67233,-15.52,0.030418
358,2MASX J01104170-1546050,17.67375,-15.76808,0.05297
359,2MASX J01104727-4545236,17.697,-45.75656,0.023326
360,2MASX J01104774-4547016,17.699,-45.78369,0.024887
361,2MASX J01105442-1857501,17.72679,-18.96386,0.053183
362,2MASX J01105586-4539196,17.73279,-45.65547,0.02339
363,2MASX J01105805+0016343,17.74193,0.27616,0.065397
364,2MASX J01105973-1728527,17.74892,-17.48128,0.052416
365,2MASX J01110270-1402587,17.76129,-14.04958,0.053507
366,2MASX J01110461-4558435,17.76929,-45.97878,0.026231
367,2MASX J01110777+1501061,17.78244,15.01825,0.060314
368,2MASX J01111597-6130326,17.81654,-61.50908,0.027806
369,2MASX J01112460-1627397,17.85253,-16.46098,0.048107
370,2MASX J01113227-1402303,17.88437,-14.04175,0.051389
371,2MASX J01113629-1512523,17.90121,-15.2145,0.043106
372,2MASX J01114243-3001418,17.92675,-30.02825,0.032272
373,2MASX J01114846-3128196,17.95192,-31.47208,0.033833
374,2MASX J01114886-1233043,17.95363,-12.55123,0.045018
375,2MASX J01115251-4549022,17.96888,-45.81736,0.021755
376,2MASX J01115310-1534193,17.97117,-15.57208,0.046919
377,2MASX J01115324-1421393,17.97192,-14.36092,0.047036
378,2MASX J01120530-0009402,18.02216,-0.16115,0.046024
379,2MASX J01120607-6141425,18.02538,-61.69517,0.027035
380,2MASX J01124220-1720358,18.17588,-17.34331,0.044024
381,2MASX J01124856-5543280,18.20237,-55.7245,0.017479
382,2MASX J01125019-1618448,18.20908,-16.31236,0.038206
383,2MASX J01131189+1505583,18.29966,15.0996,0.045491
384,2MASX J01131843-1519541,18.32674,-15.3317,0.046549
385,2MASX J01132289+1515522,18.34534,15.26471,0.059763
386,2MASX J01132427+1514282,18.35113,15.24104,0.041705
387,2MASX J01132528-1522151,18.35525,-15.37089,0.047086
388,2MASX J01133620-0146203,18.40087,-1.77236,0.038503
389,2MASX J01133756+0025256,18.40657,0.42374,0.046615
390,2MASX J01134317-3150350,18.42992,-31.84311,0.020904
391,2MASX J01135716+0022171,18.48825,0.37142,0.045494
