,D (Mpc),H,M,P,Q,j2000,meas,objname
106,34.42533173559377,5.519958556727663,5.439389213727257,1.4731493827031723,10.911985915215196,J125003.9-412255,3,NGC4709                       
107,2.2940328054028107,0.06991674986806873,0.04685340102968924,0.02313553309754719,0.04083802647086962,J141556.5+230320,6,UGC09128                      
108,5058.246620031148,0.0,0.0,326.4592368568103,0.0,J135712.0+042027,1,SCPJ135711.96+042026.9        
109,27.164392688390837,0.0,0.0,6.762303915848015,0.0,J034335.5-160052,1,PGC013684                     
110,44.46312674691093,0.0,0.0,11.068650772376008,0.0,J074625.4-183249,1,ESO560-012                    
111,29.621139928984608,2.128518292866989,4.389992557841517,4.64469444755182,4.763499023876494,J141012.9-023433,2,UGC09057                      
112,11.558564741090914,1.3978051773929316,1.6855448949545884,1.4085230403570874,1.733264440877187,J050657.0-594338,3,NGC1824                       
113,18.951756643001854,2.46492935173531,2.9520159698735884,2.317086541135913,3.425737347489005,J004044.2-632627,3,ESO079-005                    
114,3944.573020752785,0.0,0.0,854.670636406506,0.0,J022823.6+003913,1,DEEP2_41100811                
115,6.329947384634639,0.16856965481464006,0.2426933688159571,0.09028327100382877,0.4878231791988671,J014107.9+271921,2,AGC112521                     
116,61.94410750767811,0.0,0.0,1.998936349272773,0.0,J042016.2-450153,1,NGC1558                       
117,42.65795188015926,0.0,0.0,9.242698433874107,0.0,J124852.5-413224,1,PGC2798844                    
118,20.17449923057713,1.6451944323008414,0.9496397013815474,0.3374922788387521,0.9732348285015576,J034219.4-352334,6,NGC1427                       
119,1061.6955571987241,0.0,0.0,73.41624778029178,0.0,J032922.1-010541,1,SDSSJ032922.06-010540.9       
120,43.93624854432865,5.204567688622445,3.959903182852622,1.336906077988944,2.414106008361194,J224024.2-662845,4,NGC7329                       
121,55.09775097443878,4.055340412826078,8.194035823614213,8.625351872689063,8.903660299350939,J223753.3+251133,2,UGC12123                      
122,39.343175235233225,5.825992980455904,5.746317423260447,3.93572166536693,5.514867705010909,J012435.0+074316,4,UGC00964                      
123,86.63125450418035,6.553682942039043,13.130874455854155,13.53675367210886,14.873470732434539,J005405.0+302044,2,PGC003184                     
124,9.891198549007022,1.7483761451271105,1.3379857447138206,0.2470218838456287,0.6425341349180594,J085241.5+332521,6,NGC2683                       
125,16.44371723214929,0.0,0.0,3.41124913980937,0.0,J123002.2+133811,1,NGC4477                       
126,9.492924013990049,1.196248169478075,1.449224355798879,1.1570236990806746,1.5905676051033877,J003546.6-252227,3,IC1558                        
127,85.90135215053961,0.0,0.0,21.38428260435533,0.0,J212341.9+190744,1,PGC091705                     
128,4.35102067310985,0.11923298281246773,0.061576369617474265,0.04232063301284589,0.04425938483799313,J134018.3-285339,3,IC4316                        
129,55.96150398751977,4.14973061707163,8.483159131929499,8.881071076843966,9.865429931480376,J015129.2+360357,2,UGC01319                      
130,2.3520046942025066,0.05113022860290727,0.022980683287487366,0.015304037058530999,0.016909810654320227,J121846.1-794333,3,IC3104                        
131,79.689640476538,6.033794073222786,12.031281112682745,12.49097943538872,12.986746265683061,J075420.4+324629,2,PGC090803                     
132,59.022255260785094,4.435098377801584,8.960444197473258,9.342548171554013,10.378056156791812,J020533.7+345251,2,UGC01581                      
133,18.09498914850451,1.3186887729656436,0.8021416790895108,0.19111995818239902,1.428260206615317,J122503.7+125314,9,NGC4374                       
134,14.37653187329813,1.7476424148321426,2.1067212545705085,1.6958837750771856,2.2705240175501293,J023413.4+291840,3,NGC0972                       
135,628.058358813318,0.0,0.0,57.90698068258793,0.0,J010858.9+000024,1,[RGK2003]J010858.96+000024.8  
