Inx,Gname,Fname,Glon,Glat,Type,cz,zz,zz_d,Method,mag,mag_d,mag_min,mag_max,dis,dis_d,dis_min,dis_max,Ndis,Nz,rowN,
208,NGC7196                       ,NGC 7196                      ,345.369,-51.086,G     ,2923,0.00975,0.000063,Tully-Fisher                            ,33.26,0.23,32.87,33.66,45.13,4.72,37.6,54,10,8,208,
50,NGC1024                       ,NGC 1024                      ,161.07,-43.902,G     ,3531,0.011778,0.00002,Tully-Fisher                            ,33.28,0.07,33.2,33.35,45.3,1.41,43.7,46.7,5,9,50,
232,NGC7678                       ,NGC 7678                      ,98.882,-36.545,G     ,3489,0.011639,0.000017,Tully-Fisher                            ,33.28,0.41,32.68,34.2,45.64,9.1,34,68.4,12,10,232,
45,NGC4946                       ,NGC 4946                      ,305.626,19.207,G     ,3079,0.01027,0.000067,Tully-Fisher                            ,33.3,0.22,32.84,33.52,45.78,4.34,36.9,50.6,9,5,45,
219,NGC7392                       ,NGC 7392                      ,39.862,-61.958,G     ,3192,0.010647,0.000033,Tully-Fisher                            ,33.3,0.2,33.01,33.55,45.79,4.16,40.1,51.2,7,9,219,
130,NGC2592                       ,NGC 2592                      ,197.718,31.611,G     ,1979,0.006601,0.000017,Tully-Fisher                            ,33.12,1.11,32.05,34.26,45.83,23.07,25.7,71,3,6,130,
40,NGC4897                       ,NGC 4897                      ,306.459,49.357,G     ,2554,0.008519,0.000013,Tully-Fisher                            ,33.29,0.25,32.85,33.5,45.83,5.06,37.1,51,7,6,40,
255,IC3253                        ,IC 3253                       ,296.489,27.903,G     ,2704,0.009018,0.000023,Tully-Fisher                            ,33.15,0.84,32.27,34.47,45.88,19.58,28.4,78.2,10,6,255,
135,NGC6063                       ,NGC 6063                      ,19.885,39.954,G     ,2848,0.0095,0.000017,Tully-Fisher                            ,33.31,0.35,32.45,33.83,46.3,7.1,30.6,58.5,20,10,135,
214,NGC3449                       ,NGC 3449                      ,275.985,23.668,G     ,3274,0.010921,0.00002,Tully-Fisher                            ,33.33,0.22,32.98,33.77,46.55,4.83,39.4,56.9,12,7,214,
69,NGC5193                       ,NGC 5193                      ,312.588,28.878,G     ,3711,0.012379,0.000011,Tully-Fisher                            ,33.31,0.42,32.66,34.24,46.78,9.26,34,70.5,15,10,69,
39,IC1783                        ,IC 1783                       ,236.564,-72.044,G     ,3350,0.011174,0.000033,Tully-Fisher                            ,33.33,0.33,32.93,33.95,46.94,7.53,38.5,61.7,11,11,39,
42,ESO030-G014                   ,ESO 030- G 014                ,296.295,-39.912,G     ,8272,0.027592,0.000033,Tully-Fisher                            ,33.35,0.23,33.19,33.52,46.95,5.02,43.4,50.5,2,4,42,
113,UGC03845                      ,UGC 03845                     ,171,25.27,G     ,3034,0.01012,0.000023,Tully-Fisher                            ,33.4,0.35,32.55,33.74,47.86,6.96,32,56,13,3,113,
227,NGC7562                       ,NGC 7562                      ,85.113,-49.045,G     ,3608,0.012035,0.000017,Tully-Fisher                            ,33.39,0.24,33.21,33.79,47.9,5.51,43.8,57.3,5,12,227,
169,NGC3145                       ,NGC 3145                      ,252.982,34.367,G     ,3652,0.012182,0.00002,Tully-Fisher                            ,33.39,0.37,32.8,33.94,48.32,8.19,36,61.5,12,10,169,
232,NGC3811                       ,NGC 3811                      ,151.964,65.29,G     ,3105,0.010357,0.00002,Tully-Fisher                            ,33.37,0.53,32.2,34.1,48.32,11.05,27,66.2,10,8,232,
144,NGC6411                       ,NGC 6411                      ,89.731,32.629,G     ,3806,0.012695,0.000028,SNIa                                    ,33.37,0.68,32.33,34.28,48.92,14.25,29.2,70.9,12,4,144,
47,NGC0935                       ,NGC 0935                      ,152.14,-37.725,G     ,4142,0.013816,0.000017,Tully-Fisher                            ,33.44,0.26,33.06,33.79,49.06,5.84,40.9,57.4,5,10,47,
55,IC0277                        ,IC 0277                       ,173.996,-46.969,G     ,2849,0.009503,0.000013,Tully est                               ,33.36,0.98,32.67,34.05,49.4,21.5,34.2,64.6,2,12,55,
210,NGC7200                       ,NGC 7200                      ,345.442,-51.317,G     ,2897,0.009663,0.000043,Tully-Fisher                            ,33.34,0.8,32.71,34.83,49.64,20.69,34.8,92.3,9,7,210,
126,NGC2523                       ,NGC 2523                      ,141.039,31.81,G     ,3471,0.011578,0.00004,Tully-Fisher                            ,33.4,0.66,32.3,33.92,49.73,13.37,29,60.8,6,4,126,
96,UGC03459                      ,UGC 03459                     ,205.597,-3.927,G     ,2874,0.009587,0.000023,Tully-Fisher                            ,33.5,0.18,33.22,33.66,50.2,3.97,44.1,54,5,4,96,
151,NGC2916                       ,NGC 2916                      ,208.709,45.22,G     ,3730,0.012442,0.000023,Tully-Fisher                            ,33.5,0.28,33.04,33.79,50.32,6.02,40.6,57.2,5,11,151,
1,UGC12914                      ,UGC 12914                     ,108.404,-37.979,G     ,4371,0.01458,0.000027,Tully-Fisher                            ,33.47,0.58,32.3,33.89,50.8,11.02,29,60,6,14,1,
72,IC4296                        ,IC 4296                       ,313.538,27.973,G     ,3737,0.012465,0.000033,Tully-Fisher                            ,33.51,0.28,33,34.01,50.83,6.49,39.9,63.4,16,9,72,
192,NGC3311                       ,NGC 3311                      ,269.602,26.487,G     ,3825,0.012759,0.000027,Tully-Fisher                            ,33.51,0.31,32.81,33.91,51.02,7.11,36.5,60.6,19,15,192,
49,NGC0976                       ,NGC 0976                      ,152.84,-35.869,G     ,4295,0.014327,0.000017,SNIa                                    ,33.55,0.28,32.74,33.82,51.06,5.93,34.8,58.1,13,7,49,
70,NGC5218                       ,NGC 5218                      ,115.071,53.734,G     ,2933,0.009783,0.000072,Tully-Fisher                            ,33.55,0.17,33.26,33.69,51.42,3.92,44.9,54.8,5,9,70,
135,UGC04640                      ,UGC 04640                     ,229.755,25.384,G     ,3306,0.011027,0.000019,Tully-Fisher                            ,33.56,0.09,33.47,33.65,51.47,2.11,49.5,53.7,3,5,135,
188,NGC3308                       ,NGC 3308                      ,269.476,26.521,G     ,3554,0.011855,0.000011,Tully-Fisher                            ,33.54,0.35,33.04,33.91,51.62,7.97,40.6,60.6,5,13,188,
4,UGC07848                      ,UGC 07848                     ,124.899,53.569,G     ,2513,0.008382,0.000047,Tully-Fisher                            ,33.56,0.22,33.25,33.77,51.7,5.06,44.7,56.8,4,6,4,
206,ESO501-G068                   ,ESO 501- G 068                ,269.719,27.379,G     ,3090,0.010307,0.000033,Tully-Fisher                            ,33.54,0.34,33.03,34.08,51.74,8.35,40.4,65.6,14,7,206,
155,NGC6702                       ,NGC 6702                      ,75.028,19.787,G     ,4728,0.015771,0.000017,Tully-Fisher                            ,33.56,0.32,33.08,34.08,51.92,7.67,41.3,65.5,9,8,155,
