,names,meas,bootmad,bootmsig,bootmother
382,FGC 0099,3,14.653800631635107,9.330191585731697,9.129044911474704
383,MCG -01-03-027,2,4.593918059477825,2.8082740643537445,3.003955021084596
384,2MASX J00521819-2149496,3,24.95689716215302,14.895727793523005,16.07588556203112
385,UGC 00533,6,11.430739061904886,4.6879420708062,9.832462140140734
386,NGC 0280,11,17.202477832719534,5.6284242221840906,15.625634180813863
387,UGC 00536,5,9.491719343051173,4.626151136434763,7.549592727403548
388,NGC 0289,13,2.975982470996653,0.9449275432639946,2.7519928690682463
389,2MFGC 00637,3,17.763580702507525,10.407112762078519,10.240644433663547
390,2MASX J00525595-2150290,3,24.683559449936272,16.520913493547383,15.737906232190504
391,UGC 00540,14,7.438993316484853,2.284040989611803,7.0021087291606445
392,UGC 00541,12,14.183973945565857,4.302075393234309,13.052507097932331
393,NGC 0283,2,22.31316684780614,14.311511320299866,15.957241839662808
394,ESO 474- G 038,3,13.944416339934618,7.887645966932306,8.20192185454937
395,2MASX J00532535-2151017,3,40.19780562524381,27.188260643269,26.45752812749261
396,UGC 00542,13,7.588176433090281,2.2530973323575294,6.8853939533191175
397,2MASX J00532866-2154407,3,22.76313113748279,13.829244302593926,14.401574364553959
398,NGC 0291,3,11.333416508335933,5.969900862678231,6.295859138438895
399,IC 1597,8,8.233694355343108,3.243866660344091,7.410099116052764
400,UGC 00544,3,8.049781064156576,4.636448734130275,5.053169167240478
401,ESO 474- G 039,9,8.442423265622232,3.1598581288576932,7.393900512151208
402,IC 1595,8,14.699991818422273,4.580033324107234,12.986005812128562
403,ESO 351- G 018,8,9.97937249575805,3.5591742168174214,8.755745056460839
404,ESO 243- G 009,3,11.311064482511446,7.974783127721122,7.696009064798467
405,MCG -04-03-025,3,22.100687966108264,14.444316581392279,14.233473418621049
406,MCG +12-02-001,2,6.054664350817047,4.0415268484193,4.315771666203789
407,CGCG 501-035,4,9.493447125199863,4.365311544623261,7.09249760998014
408,ESO 079- G 008,3,16.136302010097086,9.888074223600567,10.073020383666336
409,ESO 195- G 014,3,9.463527413208313,5.370542061901638,5.423013154193177
410,UGC 00549,9,9.687697220918759,3.8168509201103045,8.737872295547993
411,2MASX J00544214-0129214,3,21.440998996149435,12.36922191444252,12.705122290171147
412,UGC 00557,14,9.013740549361497,2.6524697311398477,8.34729538517867
413,UGC 00556,21,17.95419144274153,4.25017160113252,17.465767037964678
414,NGC 0300,10,0.31852324770425366,0.10909868460207238,0.29620015041961345
415,NGC 0298,2,4.413947934117232,2.9736198798910474,3.414532860226092
416,ESO 541- G 001,12,11.31771310888394,3.1761591006286083,10.639305469934941
417,NGC 0296,22,7.986960430836864,1.8843159042966235,7.716737129965005
418,CGCG 384-029,3,16.8223950831521,10.14139523028083,9.853975896678522
419,UGC 00565,17,7.584791625501852,2.081192418222609,7.071773857734651
420,CGCG 501-047,6,10.390769000001974,4.334473432302103,8.222604025087275
421,UGC 00575,12,7.6879087716404495,2.4581764655224934,6.972766012032839
422,NGC 0312,2,13.406017380768024,9.222897628652845,9.718472710102283
423,UGC 00579,3,19.601210565550655,11.530925039029768,12.229631773662314
424,NGC 0307,2,11.41832731001008,8.454033502779648,10.341260046681802
425,NGC 0323,2,19.243341255407756,13.262649371567502,16.48808490971884
426,NGC 0309,7,5.750248115187889,2.537381442824671,4.970975710203051
427,2MASX J00564659-0135469,3,17.86071095539105,11.486155253931113,10.091424525329263
428,IC 1603,8,10.011681772424422,3.8839031286089485,8.879602365936195
429,NGC 0311,2,10.927173449912452,7.377215687850795,8.621138905199066
430,UGC 00595,2,23.04145901797752,15.495758661693761,16.194561062309422
